"first_name","last_name","name","amount","payment_date","rental_date","return_date","first_name","last_name","store_id"
PENELOPE,GUINESS,Documentary,,,,,,,
CHRISTIAN,GABLE,Documentary,,,,,,,
LUCILLE,TRACY,Documentary,,,,,,,
SANDRA,PECK,Documentary,,,,,,,
JOHNNY,CAGE,Documentary,,,,,,,
MENA,TEMPLE,Documentary,,,,,,,
WARREN,NOLTE,Documentary,,,,,,,
OPRAH,KILMER,Documentary,,,,,,,
ROCK,DUKAKIS,Documentary,,,,,,,
MARY,KEITEL,Documentary,,,,,,,
BOB,FAWCETT,Horror,,,,,,,
MINNIE,ZELLWEGER,Horror,,,,,,,
SEAN,GUINESS,Horror,,,,,,,
CHRIS,DEPP,Horror,,,,,,,
NICK,WAHLBERG,Documentary,,,,,,,
BOB,FAWCETT,Documentary,,,,,,,
CAMERON,STREEP,Documentary,,,,,,,
RAY,JOHANSSON,Documentary,,,,,,,
JULIANNE,DENCH,Documentary,,,,,,,
JODIE,DEGENERES,Horror,,,,,,,
SCARLETT,DAMON,Horror,,,,,,,
KENNETH,PESCI,Horror,,,,,,,
FAY,WINSLET,Horror,,,,,,,
OPRAH,KILMER,Horror,,,,,,,
GARY,PHOENIX,Family,,,,,,,
DUSTIN,TAUTOU,Family,,,,,,,
MATTHEW,LEIGH,Family,,,,,,,
MATTHEW,CARREY,Family,,,,,,,
THORA,TEMPLE,Family,,,,,,,
KIRSTEN,PALTROW,Foreign,,,,,,,
SANDRA,KILMER,Foreign,,,,,,,
JAYNE,NEESON,Foreign,,,,,,,
WARREN,NOLTE,Foreign,,,,,,,
MORGAN,WILLIAMS,Foreign,,,,,,,
KENNETH,HOFFMAN,Foreign,,,,,,,
REESE,WEST,Foreign,,,,,,,
JIM,MOSTEL,Comedy,,,,,,,
RICHARD,PENN,Comedy,,,,,,,
OPRAH,KILMER,Comedy,,,,,,,
MENA,HOPPER,Comedy,,,,,,,
MICHAEL,BOLGER,Comedy,,,,,,,
FAY,KILMER,Horror,,,,,,,
GENE,WILLIS,Horror,,,,,,,
SUSAN,DAVIS,Horror,,,,,,,
LUCILLE,DEE,Horror,,,,,,,
CHRISTIAN,GABLE,Horror,,,,,,,
ELVIS,MARX,Horror,,,,,,,
RIP,CRAWFORD,Horror,,,,,,,
MENA,TEMPLE,Horror,,,,,,,
RIP,WINSLET,Horror,,,,,,,
WARREN,NOLTE,Horror,,,,,,,
GRETA,KEITEL,Horror,,,,,,,
WILLIAM,HACKMAN,Horror,,,,,,,
MERYL,ALLEN,Horror,,,,,,,
ALEC,WAYNE,Sports,,,,,,,
JUDY,DEAN,Sports,,,,,,,
VAL,BOLGER,Sports,,,,,,,
RAY,JOHANSSON,Sports,,,,,,,
RENEE,TRACY,Sports,,,,,,,
JADA,RYDER,Sports,,,,,,,
GRETA,MALDEN,Sports,,,,,,,
ROCK,DUKAKIS,Sports,,,,,,,
JOHNNY,CAGE,Foreign,,,,,,,
SCARLETT,DAMON,Foreign,,,,,,,
SEAN,GUINESS,Foreign,,,,,,,
MICHAEL,BENING,Foreign,,,,,,,
VAL,BOLGER,Music,,,,,,,
BURT,POSEY,Music,,,,,,,
SIDNEY,CROWE,Music,,,,,,,
SYLVESTER,DERN,Music,,,,,,,
ALBERT,JOHANSSON,Music,,,,,,,
GENE,MCKELLEN,Music,,,,,,,
JEFF,SILVERSTONE,Music,,,,,,,
CARY,MCCONAUGHEY,Horror,,,,,,,
CHRISTOPHER,BERRY,Horror,,,,,,,
KENNETH,TORN,Horror,,,,,,,
MORGAN,MCDORMAND,Horror,,,,,,,
JON,CHASE,Horror,,,,,,,
WOODY,HOFFMAN,Classics,,,,,,,
MINNIE,ZELLWEGER,Classics,,,,,,,
MORGAN,WILLIAMS,Classics,,,,,,,
ROCK,DUKAKIS,Classics,,,,,,,
BURT,DUKAKIS,Foreign,,,,,,,
KENNETH,PALTROW,Foreign,,,,,,,
SIDNEY,CROWE,Foreign,,,,,,,
RENEE,TRACY,Foreign,,,,,,,
HUMPHREY,WILLIS,Foreign,,,,,,,
MENA,HOPPER,Foreign,,,,,,,
KARL,BERRY,Foreign,,,,,,,
JUDE,CRUISE,Foreign,,,,,,,
ALBERT,JOHANSSON,Foreign,,,,,,,
GREGORY,GOODING,Foreign,,,,,,,
JOHN,SUVARI,Foreign,,,,,,,
ED,CHASE,Music,,,,,,,
KARL,BERRY,Music,,,,,,,
UMA,WOOD,Music,,,,,,,
WOODY,JOLIE,Music,,,,,,,
SPENCER,DEPP,Music,,,,,,,
CHRIS,DEPP,Music,,,,,,,
LAURENCE,BULLOCK,Music,,,,,,,
RENEE,BALL,Music,,,,,,,
REESE,KILMER,Animation,,,,,,,
JADA,RYDER,Animation,,,,,,,
ANGELA,WITHERSPOON,Animation,,,,,,,
OPRAH,KILMER,Animation,,,,,,,
JOHNNY,LOLLOBRIGIDA,Action,,,,,,,
JULIA,MCQUEEN,Action,,,,,,,
VAL,BOLGER,Action,,,,,,,
KIRK,JOVOVICH,Action,,,,,,,
JAMES,PITT,Action,,,,,,,
PENELOPE,CRONYN,Action,,,,,,,
CARMEN,HUNT,Music,,,,,,,
WALTER,TORN,Music,,,,,,,
ED,MANSFIELD,Music,,,,,,,
EWAN,GOODING,Music,,,,,,,
IAN,TANDY,Music,,,,,,,
LAURA,BRODY,Music,,,,,,,
KEVIN,BLOOM,Action,,,,,,,
RIP,CRAWFORD,Action,,,,,,,
SIDNEY,CROWE,Action,,,,,,,
WARREN,JACKMAN,Action,,,,,,,
FRANCES,TOMEI,Action,,,,,,,
CARY,MCCONAUGHEY,New,,,,,,,
DARYL,WAHLBERG,New,,,,,,,
SALMA,NOLTE,New,,,,,,,
SCARLETT,BENING,New,,,,,,,
PENELOPE,GUINESS,Animation,,,,,,,
JENNIFER,DAVIS,Animation,,,,,,,
ELVIS,MARX,Animation,,,,,,,
JAYNE,NOLTE,Animation,,,,,,,
HUMPHREY,WILLIS,Animation,,,,,,,
TOM,MCKELLEN,Horror,,,,,,,
TOM,MIRANDA,Horror,,,,,,,
JESSICA,BAILEY,Horror,,,,,,,
GRETA,MALDEN,Horror,,,,,,,
ED,GUINESS,Horror,,,,,,,
PENELOPE,GUINESS,New,,,,,,,
JENNIFER,DAVIS,New,,,,,,,
GRACE,MOSTEL,New,,,,,,,
JULIA,BARRYMORE,New,,,,,,,
CHRISTOPHER,BERRY,New,,,,,,,
ED,MANSFIELD,New,,,,,,,
NICK,DEGENERES,New,,,,,,,
LAURENCE,BULLOCK,New,,,,,,,
RENEE,BALL,New,,,,,,,
ADAM,GRANT,Sci-Fi,,,,,,,
CATE,MCQUEEN,Sci-Fi,,,,,,,
GRETA,KEITEL,Sci-Fi,,,,,,,
GRACE,MOSTEL,Sports,,,,,,,
FAY,KILMER,Sports,,,,,,,
JIM,MOSTEL,Sports,,,,,,,
SUSAN,DAVIS,Sports,,,,,,,
WHOOPI,HURT,Sports,,,,,,,
EMILY,DEE,Sports,,,,,,,
MERYL,GIBSON,Sports,,,,,,,
MENA,HOPPER,Sports,,,,,,,
ED,GUINESS,Sports,,,,,,,
MILLA,KEITEL,Comedy,,,,,,,
OPRAH,KILMER,Comedy,,,,,,,
BETTE,NICHOLSON,Action,,,,,,,
UMA,WOOD,Action,,,,,,,
SIDNEY,CROWE,Action,,,,,,,
SALMA,NOLTE,Action,,,,,,,
WILLIAM,HACKMAN,Action,,,,,,,
RENEE,BALL,Action,,,,,,,
REESE,WEST,Action,,,,,,,
JOE,SWANK,Horror,,,,,,,
CHRISTOPHER,WEST,Horror,,,,,,,
LISA,MONROE,Horror,,,,,,,
NICK,WAHLBERG,Family,,,,,,,
CUBA,OLIVIER,Family,,,,,,,
ANNE,CRONYN,Family,,,,,,,
HENRY,BERRY,Family,,,,,,,
MAE,HOFFMAN,New,,,,,,,
VIVIEN,BASINGER,New,,,,,,,
OPRAH,KILMER,New,,,,,,,
WILL,WILSON,New,,,,,,,
RUSSELL,CLOSE,New,,,,,,,
MAE,HOFFMAN,Drama,,,,,,,
WOODY,JOLIE,Drama,,,,,,,
ED,MANSFIELD,Drama,,,,,,,
ALBERT,JOHANSSON,Drama,,,,,,,
OPRAH,KILMER,Drama,,,,,,,
